Movie Rank,Movie Title,Movie Alt Title,Movie Genre,Date of Release,Movie Rating
1,The Shawshank Redemption,,['Drama'],1994,"4,42"
2,The Godfather,Mario Puzo's The Godfather,['Crime'],1972,"4,37"
3,The Godfather: Part II,Mario Puzo's The Godfather: Part II,['Crime'],1974,"4,29"
4,The Green Mile,Stephen King's The Green Mile,"['Fantasy, Drama']",1999,"4,28"
5,Pulp Fiction,,"['Crime, Drama']",1994,"4,26"
6,C'era una Volta il West,Once upon a Time in the West,['Western'],1968,"4,25"
7,The Lord of the Rings: The Return of the King,,"['Adventure, Fantasy']",2003,"4,24"
8,Schindler's List,,"['War, Drama']",1993,"4,24"
9,"Il Buono, il Brutto, il Cattivo","The Good, the Bad and the Ugly",['Western'],1966,"4,24"
10,Se7en,Seven,"['Thriller, Crime']",1995,"4,22"
11,The Lord of the Rings: The Fellowship of the Ring,,"['Fantasy, Adventure']",2001,"4,21"
12,One Flew over the Cuckoo's Nest,,['Drama'],1975,"4,20"
13,Gladiator,,"['History, Drama']",2000,"4,19"
14,Scarface,,"['Crime, Drama']",1983,"4,19"
15,Goodfellas,GoodFellas,"['Crime, Drama']",1990,"4,19"
16,American History X,,"['Crime, Drama']",1998,"4,18"
17,The Pianist,,"['Drama, War']",2002,"4,18"
18,Intouchables,The Intouchables,"['Comedy, Drama']",2011,"4,18"
19,The Lord of the Rings: The Two Towers,,"['Adventure, Fantasy']",2002,"4,16"
20,Forrest Gump,,"['Comedy, Drama']",1994,"4,16"
21,Cidade de Deus,City of God,"['Drama, Crime']",2002,"4,15"
22,The Dark Knight,,"['Action, Crime']",2008,"4,13"
23,The Silence of the Lambs,,"['Thriller, Crime']",1991,"4,13"
24,The Usual Suspects,,"['Crime, Mystery']",1995,"4,12"
25,Saving Private Ryan,,"['War, Drama']",1998,"4,11"
26,Heat,,"['Crime, Thriller']",1995,"4,11"
27,Once upon a Time in America,C'era una Volta in America,"['Crime, Drama']",1984,"4,11"
28,La Meglio Gioventù,The Best of Youth,['Drama'],2003,"4,11"
29,12 Angry Men,Twelve Angry Men,['Drama'],1957,"4,10"
30,Fight Club,,"['Comedy, Thriller']",1999,"4,09"
31,American Beauty,,"['Drama, Comedy']",1999,"4,09"
32,Into the Wild,,"['Biography, Drama']",2007,"4,06"
33,Reservoir Dogs,,"['Crime, Drama']",1992,"4,04"
34,Léon,The Professional,"['Crime, Drama']",1994,"4,04"
35,Requiem for a Dream,,['Drama'],2000,"4,03"
36,Jagten,The Hunt,['Drama'],2012,"4,03"
37,Snatch,,"['Crime, Comedy']",2000,"4,02"
38,Apocalypse Now,Apocalypse Now Redux,"['War, Drama']",1979,"4,02"
39,Django Unchained,,"['Western, Action']",2012,"4,02"
40,Das Leben der Anderen,The Lives of Others,"['Drama, Thriller']",2006,"4,02"
41,The Matrix,,"['Scifi, Action']",1999,"4,01"
42,Le Fabuleux Destin d'Amélie Poulain,Amélie,"['Comedy, Romance']",2001,"4,01"
43,Inception,,"['Thriller, Scifi']",2010,"4,00"
44,Braveheart,,"['War, History']",1995,"4,00"
45,The Lion King,De Leeuwenkoning,"['Animation, Family']",1994,"3,98"
46,"Lock, Stock and Two Smoking Barrels","Lock, Stock & Two Smoking Barrels","['Crime, Comedy']",1998,"3,98"
47,Seppuku,Harakiri,['Drama'],1962,"3,98"
48,The Shining,,"['Horror, Mystery']",1980,"3,97"
49,La Vita È Bella,Life Is Beautiful,"['Comedy, War']",1997,"3,97"
50,Das Boot,De Andere Kant van de Oorlog,"['War, Drama']",1981,"3,97"
51,Shichinin no Samurai,Seven Samurai,"['Action, Drama']",1954,"3,97"
52,Le Trou,The Hole,"['Thriller, Drama']",1960,"3,97"
53,Inglourious Basterds,,"['War, Comedy']",2009,"3,96"
54,Blood Diamond,,"['Drama, Thriller']",2006,"3,96"
55,The Departed,,"['Crime, Thriller']",2006,"3,96"
56,Donnie Darko,,"['Mystery, Drama']",2001,"3,96"
57,Star Wars: Episode V - The Empire Strikes Back,,"['Fantasy, Scifi']",1980,"3,96"
58,Tengoku to Jigoku,High and Low,"['Thriller, Crime']",1963,"3,96"
59,Avatar,,"['Fantasy, Adventure']",2009,"3,95"
60,Der Untergang,Downfall,"['History, War']",2004,"3,95"
61,Full Metal Jacket,,"['War, Drama']",1987,"3,95"
62,Sen to Chihiro no Kamikakushi,Spirited Away,"['Animation, Fantasy']",2001,"3,95"
63,Slumdog Millionaire,,"['Drama, Crime']",2008,"3,94"
64,Prisoners,,"['Crime, Thriller']",2013,"3,94"
65,Joker,,"['Crime, Drama']",2019,"3,94"
66,Amores Perros,Love's a Bitch,"['Crime, Drama']",2000,"3,94"
67,North by Northwest,De Man Die Verdwijnen Moest,"['Thriller, Mystery']",1959,"3,94"
68,Donnie Brasco,,"['Crime, Drama']",1997,"3,93"
69,Terminator 2: Judgment Day,T2 - Terminator 2: Judgment Day,"['Action, Scifi']",1991,"3,93"
70,Rear Window,De Stille Getuige,"['Thriller, Mystery']",1954,"3,93"
71,Idi i Smotri,Come and See,"['Drama, War']",1985,"3,93"
72,Nuovo Cinema Paradiso,Cinema Paradiso,['Drama'],1988,"3,93"
73,Trainspotting,,"['Drama, Comedy']",1996,"3,92"
74,A Clockwork Orange,,['Crime'],1971,"3,92"
75,Alien,,"['Horror, Scifi']",1979,"3,92"
76,1917,,"['Drama, War']",2019,"3,92"
77,In the Name of the Father,,"['Drama, Biography']",1993,"3,92"
78,Green Book,,"['Biography, Comedy']",2018,"3,92"
79,Bom Yeoreum Gaeul Gyeoul Geurigo Bom,"Spring, Summer, Fall, Winter... and Spring",['Drama'],2003,"3,92"
80,It's a Wonderful Life,"Mens, Durf te Leven","['Drama, Romance']",1946,"3,92"
81,Double Indemnity,Bloedgeld,"['Filmnoir, Crime']",1944,"3,92"
82,The Father,,['Drama'],2020,"3,92"
83,El Laberinto del Fauno,Pan's Labyrinth,"['Fantasy, Drama']",2006,"3,91"
84,Casino,,"['Crime, Drama']",1995,"3,91"
85,Platoon,,"['War, Drama']",1986,"3,91"
86,The Deer Hunter,,"['War, Drama']",1978,"3,91"
87,Psycho,Alfred Hitchcock's Psycho,"['Horror, Thriller']",1960,"3,91"
88,Casablanca,,"['Romance, Drama']",1942,"3,91"
89,Hotaru no Haka,Grave of the Fireflies,"['Animation, War']",1988,"3,91"
90,Memento,,"['Mystery, Thriller']",2000,"3,90"
91,The Prestige,,"['Mystery, Drama']",2006,"3,90"
92,Gran Torino,,"['Drama, Crime']",2008,"3,90"
93,Taxi Driver,,"['Drama, Crime']",1976,"3,90"
94,Interstellar,,"['Scifi, Mystery']",2014,"3,90"
95,Walk the Line,,"['Music, Biography']",2005,"3,90"
96,Carlito's Way,,"['Crime, Drama']",1993,"3,90"
97,Vertigo,De Vrouw Die Tweemaal Leefde,"['Thriller, Mystery']",1958,"3,90"
98,Gisaengchung,Parasite,"['Drama, Comedy']",2019,"3,90"
99,Per Qualche Dollaro in Più,For a Few Dollars More,['Western'],1965,"3,90"
100,Sunset Blvd.,Sunset Boulevard,"['Drama, Filmnoir']",1950,"3,90"
101,Pirates of the Caribbean: The Curse of the Black Pearl,,"['Action, Adventure']",2003,"3,89"
102,Hotel Rwanda,,"['Drama, War']",2004,"3,89"
103,Mary and Max,,"['Animation, Drama']",2009,"3,89"
104,Du Rififi chez les Hommes,Rififi,"['Crime, Filmnoir']",1955,"3,89"
105,The Butterfly Effect,,"['Scifi, Thriller']",2004,"3,88"
106,L.A. Confidential,,"['Crime, Thriller']",1997,"3,88"
107,Warrior,,"['Drama, Sport']",2011,"3,88"
108,Vozvrashchenie,The Return,"['Drama, Mystery']",2003,"3,88"
109,Judgment at Nuremberg,Judgement at Nuremberg,"['Drama, War']",1961,"3,88"
110,Der Kommer en Dag,The Day Will Come,['Drama'],2016,"3,88"
111,Stop Making Sense,,['Music'],1984,"3,88"
112,Suna no Onna,Woman in the Dunes,"['Drama, Thriller']",1964,"3,88"
113,Saw,,"['Thriller, Horror']",2004,"3,87"
114,Shutter Island,,"['Mystery, Thriller']",2010,"3,87"
115,The Sixth Sense,,"['Thriller, Mystery']",1999,"3,87"
116,Man on Fire,,"['Action, Thriller']",2004,"3,87"
117,Eternal Sunshine of the Spotless Mind,,"['Romance, Scifi']",2004,"3,87"
118,The Wolf of Wall Street,,"['Biography, Comedy']",2013,"3,87"
119,Harry Potter and the Deathly Hallows: Part 2,Harry Potter en de Relieken van de Dood: Deel 2,"['Fantasy, Adventure']",2011,"3,87"
120,Festen,The Celebration,['Drama'],1998,"3,87"
121,"Three Billboards Outside Ebbing, Missouri",,"['Crime, Drama']",2017,"3,87"
122,Una Giornata Particolare,A Special Day,['Drama'],1977,"3,87"
123,Witness for the Prosecution,,"['Crime, Drama']",1957,"3,87"
124,Capharnaüm,Capernaum,['Drama'],2018,"3,87"
125,Ikiru,Doomed,['Drama'],1952,"3,87"
126,A Woman under the Influence,Invloeden op een Vrouw,['Drama'],1974,"3,87"
127,La Haine,Hate,"['Drama, Crime']",1995,"3,86"
128,Whiplash,,"['Drama, Music']",2014,"3,86"
129,Lion,A Long Way Home,"['Biography, Drama']",2016,"3,86"
130,Oppenheimer,,"['Biography, Drama']",2023,"3,86"
131,Da Hong Deng Long Gao Gao Gua,Raise the Red Lantern,['Drama'],1991,"3,86"
132,Le Samouraï,The Godson,"['Crime, Thriller']",1967,"3,86"
133,Le Salaire de la Peur,The Wages of Fear,"['Thriller, Adventure']",1953,"3,86"
134,The Big Lebowski,,['Comedy'],1998,"3,85"
135,A Beautiful Mind,,"['Biography, Drama']",2001,"3,85"
136,The Bourne Ultimatum,,"['Thriller, Action']",2007,"3,85"
137,The Notebook,,"['Drama, Romance']",2004,"3,85"
138,Magnolia,,['Drama'],1999,"3,85"
139,Changeling,,"['Drama, Mystery']",2008,"3,85"
140,Aliens,,"['Scifi, Action']",1986,"3,85"
141,Bin-jip,3-Iron,"['Drama, Romance']",2004,"3,85"
142,Mononoke-Hime,Princess Mononoke,"['Animation, Fantasy']",1997,"3,85"
143,La Vie d'Adèle,Blue Is the Warmest Color,"['Drama, Romance']",2013,"3,85"
144,Paths of Glory,,"['War, Drama']",1957,"3,85"
145,"Paris, Texas",,"['Roadmovie, Drama']",1984,"3,85"
146,Yedinci Kogustaki Mucize,Miracle in Cell No. 7,['Drama'],2019,"3,85"
147,Höstsonaten,Herfstsonate,['Drama'],1978,"3,85"
148,The Godfather: Part III,"The Godfather, Coda: The Death of Michael Corleone","['Crime, Drama']",1990,"3,84"
149,Toy Story 3,,"['Animation, Comedy']",2010,"3,84"
150,Män Som Hatar Kvinnor,Millennium: Mannen Die Vrouwen Haten,"['Thriller, Mystery']",2009,"3,84"
151,Papillon,,"['Adventure, Drama']",1973,"3,84"
152,Stalker,Сталкер,"['Mystery, Scifi']",1979,"3,84"
153,Efter Brylluppet,After the Wedding,['Drama'],2006,"3,84"
154,The Third Man,The 3rd Man,"['Filmnoir, Thriller']",1949,"3,84"
155,M - Eine Stadt Sucht einen Mörder,M,"['Crime, Thriller']",1931,"3,84"
156,Temple Grandin,,"['Biography, Drama']",2010,"3,84"
157,Un Condamné à Mort S'est Échappé ou Le Vent Souffle Où Il Veut,A Man Escaped,"['Drama, Thriller']",1956,"3,84"
158,The Stoning of Soraya M.,,['Drama'],2008,"3,84"
159,Lucky Number Slevin,Lucky Number S7evin,"['Crime, Thriller']",2006,"3,83"
160,Fargo,,"['Crime, Comedy']",1996,"3,83"
161,Good Will Hunting,,['Drama'],1997,"3,83"
162,Dances with Wolves,,['Western'],1990,"3,83"
163,True Romance,,"['Action, Crime']",1993,"3,83"
164,Captain Phillips,,"['Biography, Thriller']",2013,"3,83"
165,The Thing,John Carpenter's The Thing,"['Horror, Scifi']",1982,"3,83"
166,Raging Bull,,"['Biography, Sport']",1980,"3,83"
167,Lawrence of Arabia,Lawrence van Arabië,"['Adventure, Biography']",1962,"3,83"
168,Lilja 4-ever,Lilya 4-ever,['Drama'],2002,"3,83"
169,Mississippi Burning,,"['Crime, Drama']",1988,"3,83"
170,Mar Adentro,The Sea Inside,['Drama'],2004,"3,83"
171,Manon des Sources,Jean de Florette II,['Drama'],1986,"3,83"
172,La Battaglia di Algeri,The Battle of Algiers,"['Drama, War']",1966,"3,83"
173,Tasogare Seibei,The Twilight Samurai,"['Drama, History']",2002,"3,83"
174,Die Hard,,"['Action, Thriller']",1988,"3,82"
175,American Gangster,,"['Crime, Drama']",2007,"3,82"
176,Raiders of the Lost Ark,Indiana Jones and the Raiders of the Lost Ark,"['Action, Adventure']",1981,"3,82"
177,Star Wars,Star Wars: Episode IV - A New Hope,"['Fantasy, Scifi']",1977,"3,82"
178,Star Wars: Episode VI - Return of the Jedi,,"['Fantasy, Scifi']",1983,"3,82"
179,The Revenant,,"['Adventure, Drama']",2015,"3,82"
180,Så som i Himmelen,As It Is in Heaven,"['Drama, Music']",2004,"3,82"
181,Le Scaphandre et le Papillon,The Diving Bell and the Butterfly,"['Drama, Biography']",2007,"3,82"
182,Novecento,1900,"['Drama, History']",1976,"3,82"
183,Ace in the Hole,The Big Carnival,"['Drama, Filmnoir']",1951,"3,82"
184,The Best Years of Our Lives,De Beste Jaren van Ons Leven,"['Drama, War']",1946,"3,82"
185,Mildred Pierce,,"['Drama, Filmnoir']",1945,"3,82"
186,Back to the Future,Terug naar de Toekomst,"['Scifi, Comedy']",1985,"3,81"
187,Big Fish,,"['Drama, Fantasy']",2003,"3,81"
188,2001: A Space Odyssey,2001: Een Zwerftocht in de Ruimte,"['Scifi, Adventure']",1968,"3,81"
189,Oldeuboi,Oldboy,"['Drama, Crime']",2003,"3,81"
190,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove,"['Comedy, War']",1964,"3,81"
191,Dog Day Afternoon,,"['Crime, Drama']",1975,"3,81"
192,Chinatown,,['Mystery'],1974,"3,81"
193,Jean de Florette,,['Drama'],1986,"3,81"
194,The Grapes of Wrath,,['Drama'],1940,"3,81"
195,Close,,['Drama'],2022,"3,81"
196,Die Brücke,The Bridge,"['Drama, War']",1959,"3,81"
197,No Country for Old Men,,"['Crime, Thriller']",2007,"3,80"
198,The Boondock Saints,,"['Action, Crime']",1999,"3,80"
199,Black Swan,,['Thriller'],2010,"3,80"
200,Million Dollar Baby,,"['Drama, Sport']",2004,"3,80"
201,Ben-Hur,Ben Hur,"['Adventure, History']",1959,"3,80"
202,The Straight Story,,"['Drama, Roadmovie']",1999,"3,80"
203,L'Instinct de Mort,Public Enemy Number One (Part 1),"['Crime, Drama']",2008,"3,80"
204,Strangers on a Train,De Maniak,"['Thriller, Filmnoir']",1951,"3,80"
205,Ladri di Biciclette,The Bicycle Thief,['Drama'],1948,"3,80"
206,Persona,,['Drama'],1966,"3,80"
207,Les Diaboliques,Diabolique,"['Mystery, Thriller']",1955,"3,80"
208,Sunrise: A Song of Two Humans,Sunrise,"['Romance, Drama']",1927,"3,80"
209,"Quo Vadis, Aida?","Where Are You Going, Aida?","['Drama, History']",2020,"3,80"
210,Sorcerer,Wages of Fear,"['Adventure, Thriller']",1977,"3,80"
211,Titanic,,"['Drama, Romance']",1997,"3,79"
212,The Truman Show,,"['Drama, Comedy']",1998,"3,79"
213,Jurassic Park,Jurassic Park 3D,"['Adventure, Scifi']",1993,"3,79"
214,Twelve Monkeys,12 Monkeys,"['Mystery, Scifi']",1995,"3,79"
215,The Game,,['Thriller'],1997,"3,79"
216,Crash,,"['Drama, Crime']",2004,"3,79"
217,Mulholland Dr.,Mulholland Drive,"['Mystery, Thriller']",2001,"3,79"
218,Indiana Jones and the Last Crusade,,"['Action, Adventure']",1989,"3,79"
219,The Longest Day,,['War'],1962,"3,79"
220,Cinderella Man,Cinderella Man - A Fighter's Tale,"['Biography, Sport']",2005,"3,79"
221,The Elephant Man,,"['Drama, Biography']",1980,"3,79"
222,The World's Fastest Indian,,"['Biography, Roadmovie']",2005,"3,79"
223,Incendies,,"['Drama, Mystery']",2010,"3,79"
224,Yip Man,Ip Man,"['Action, Biography']",2008,"3,79"
225,Contratiempo,The Invisible Guest,"['Thriller, Crime']",2016,"3,79"
226,Coco,,"['Animation, Adventure']",2017,"3,79"
227,The Sting,,"['Crime, Comedy']",1973,"3,79"
228,Tonari no Totoro,My Neighbor Totoro,"['Animation, Fantasy']",1988,"3,79"
229,The Apartment,,"['Romance, Comedy']",1960,"3,79"
230,Kokuhaku,Confessions,"['Drama, Thriller']",2010,"3,79"
231,To Be or Not to Be,,"['Comedy, War']",1942,"3,79"
232,Batman Begins,,"['Action, Crime']",2005,"3,78"
233,Escape from Alcatraz,,"['Drama, Thriller']",1979,"3,78"
234,What's Eating Gilbert Grape,What's Eating Gilbert Grape?,['Drama'],1993,"3,78"
235,Room,,['Drama'],2015,"3,78"
236,The Help,,['Drama'],2011,"3,78"
237,The Great Dictator,De Dictator,"['Comedy, War']",1940,"3,78"
238,Dial M for Murder,U Spreekt met Uw Moordenaar,"['Thriller, Crime']",1954,"3,78"
239,Mou Gaan Dou,Infernal Affairs,"['Crime, Drama']",2002,"3,78"
240,Relatos Salvajes,Wild Tales,"['Comedy, Thriller']",2014,"3,78"
241,Taegukgi Hwinalrimyeo,Brotherhood,"['Drama, War']",2004,"3,78"
242,Solyaris,Solaris,"['Drama, Scifi']",1972,"3,78"
243,White Heat,,"['Filmnoir, Crime']",1949,"3,78"
244,Le Cercle Rouge,De Rode Cirkel,"['Crime, Thriller']",1970,"3,78"
245,Kimi no Na Wa.,Your Name,"['Animation, Romance']",2016,"3,78"
246,Andrey Rublev,Andrei Rublev,"['Biography, Drama']",1966,"3,78"
247,In a Lonely Place,Vreemde Ontmoeting,"['Drama, Filmnoir']",1950,"3,78"
248,Umberto D.,,['Drama'],1952,"3,78"
249,Werckmeister Harmóniák,Werckmeister Harmonies,"['Drama, Mystery']",2000,"3,78"
250,Sin City,Frank Miller's Sin City,"['Action, Crime']",2005,"3,77"
